Position,"Track Name",Artist,Streams,URL
57,Chanel,"Frank Ocean",355557,https://open.spotify.com/track/6Nle9hKrkL1wQpwNfEkxjh
58,"Party Monster","The Weeknd",352136,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt
59,"One Dance",Drake,345607,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
60,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",342470,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
61,"New Man","Ed Sheeran",334335,https://open.spotify.com/track/5HDPtsnyb3maFmPL8LLUTG
62,"All Night (feat. Knox Fortune)","Chance The Rapper",327391,https://open.spotify.com/track/60xaS8mYBKUW4VQQ666N0T
63,"Trap Trap Trap","Rick Ross",324032,https://open.spotify.com/track/5JwCdqhZQHT5EsfzZruZx7
64,"Bad Things - With Camila Cabello","Machine Gun Kelly",319790,https://open.spotify.com/track/6H2TKJ9KJfcq6MRmw2cF20
65,"Slippery (feat. Gucci Mane)",Migos,319725,https://open.spotify.com/track/6p8NuHm8uCGnn2Dtbtf7zE
66,"All Night","The Vamps",314427,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
67,"Comin Out Strong",Future,305629,https://open.spotify.com/track/3mRcWCyteY2133a7xVMrYw
68,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",302962,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
69,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",301401,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
70,Down,"Marian Hill",300701,https://open.spotify.com/track/5eCkuGPZNl4mISFNPgr3Dd
71,"I Got You","Bebe Rexha",300623,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i
72,"Chill Bill","Rob $tone",295673,https://open.spotify.com/track/5uDASfU19gDxSjW8cnCaBp
73,"What Do I Know?","Ed Sheeran",294900,https://open.spotify.com/track/2pJZ1v8HezrAoZ0Fhzby92
74,"pick up the phone","Young Thug",290757,https://open.spotify.com/track/20dP2DaMHIAmwWAbp7peSr
75,"White Iverson","Post Malone",283605,https://open.spotify.com/track/6eT7xZZlB2mwyzJ2sUKG6w
76,"Low Life",Future,281353,https://open.spotify.com/track/7EiZI6JVHllARrX9PUvAdX
77,"You Was Right","Lil Uzi Vert",279912,https://open.spotify.com/track/2ANLarE8yHVsLWW21nj79M
78,"Losin Control",Russ,277449,https://open.spotify.com/track/1jkIErXa3YNUX5QIyO6GGR
79,"Don't Leave",Snakehips,273350,https://open.spotify.com/track/0Zx8khUcEfCFK2AEoIhC92
80,"September Song","JP Cooper",270670,https://open.spotify.com/track/0FuTx2s3YH1ppmtiM6l0zI
81,Selfish,"PnB Rock",270210,https://open.spotify.com/track/4HUIsMWVGNHsxlhbc3YQ5y
82,Starving,"Hailee Steinfeld",269275,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
83,Barcelona,"Ed Sheeran",258803,https://open.spotify.com/track/3Lfiu5sZ4M4B6JaKMBc0FU
84,"Solo Dance","Martin Jensen",257679,https://open.spotify.com/track/3R6dPfF2yBO8mHySW1XDAa
85,Heathens,"Twenty One Pilots",256738,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
86,"Sunset Lover","Petit Biscuit",253134,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1
87,"Nancy Mulligan","Ed Sheeran",251828,https://open.spotify.com/track/35QZaWQRkmnAVqBF1TLCxQ
88,"Kelly Price (feat. Travis Scott)",Migos,251615,https://open.spotify.com/track/204U3zjm9kkzX25Pr4Rdld
89,History,"Olivia Holt",250017,https://open.spotify.com/track/0WCEaydwN65cvwaW8aqptF
90,"No Role Modelz","J. Cole",249358,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
91,"Just Hold On","Steve Aoki",246499,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
92,"No Favors","Big Sean",246175,https://open.spotify.com/track/1MksGqIztTT6M9R1ErKVs8
93,Water,"Ugly God",245743,https://open.spotify.com/track/6HEIBHUirx1J0JkUD24szt
94,"Side To Side","Ariana Grande",245541,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
95,Party,"Chris Brown",243035,https://open.spotify.com/track/05Z7jet4VDNVgNQWcYHnrk
96,"Supermarket Flowers","Ed Sheeran",242729,https://open.spotify.com/track/4VuS959DSpr82t3qBqCrWG
97,"Deja Vu","J. Cole",241227,https://open.spotify.com/track/6I6NX6tjGsxFAsIfGzY9lJ
98,Controlla,Drake,235383,https://open.spotify.com/track/4CpKEkdGbOJV51cSvx7SoG
99,"Too Good",Drake,234945,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew
100,"Sooner Or Later","Aaron Carter",234930,https://open.spotify.com/track/4mqvE5F95nKSUrUvUH3YB7
101,"From The D To The A (feat. Lil Yachty)","Tee Grizzley",234752,https://open.spotify.com/track/2NyrXRn4tancYPW6JwtTl2
102,"Gucci On My","Mike WiLL Made-It",234014,https://open.spotify.com/track/7MVEiuVeoSxi4iTjQM699B
103,"The Other",Lauv,233972,https://open.spotify.com/track/3ZD3kjn80pQ9keYO8eqp9d
104,"Let Me Love You","DJ Snake",230056,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
105,Cake,"Flo Rida",229830,https://open.spotify.com/track/6t2ubAB4iSYOuIpRAOGd4t
106,"In the Name of Love","Martin Garrix",225755,https://open.spotify.com/track/23L5CiUhw2jV1OIMwthR3S
107,"Oceans Away","A R I Z O N A",225653,https://open.spotify.com/track/4NJpJ17Dgm5r4OYExFbxLk
108,"Don't Let Me Down","The Chainsmokers",225373,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm
109,"Money Longer","Lil Uzi Vert",225349,https://open.spotify.com/track/0B8QzDH7YWih85V5SEMnyJ
110,"Too Many Years","Kodak Black",225213,https://open.spotify.com/track/0BU7nIcCZxYSE0hYcc5oZz
111,"Don't Wanna Know","Maroon 5",224667,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
112,"Hearts Don't Break Around Here","Ed Sheeran",222451,https://open.spotify.com/track/2dfHh7ECGxfNqZTQno09Vk
113,"How Would You Feel (Paean)","Ed Sheeran",221707,https://open.spotify.com/track/6PJ8FF6UR8FZXfEvpHkIVN
114,"Come and See Me (feat. Drake)",PARTYNEXTDOOR,221207,https://open.spotify.com/track/1wZqJM5FGDEl3FjHDxDyQd
115,"Drowning (feat. Kodak Black)","A Boogie Wit da Hoodie",220824,https://open.spotify.com/track/3LnOF5n1GOs01siYZXzS3p
116,"Needed Me",Rihanna,220678,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm
117,Draco,Future,219486,https://open.spotify.com/track/67dyMPOUsbZ9Yg06PnfAAh
118,"Rent Money",Future,218408,https://open.spotify.com/track/4Zxdw0Hno7YDu0IzvY76Qo
119,"Get Right Witcha",Migos,217910,https://open.spotify.com/track/76Y0gxtTxN0FyDCYh5qYQj
120,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",217516,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
121,PRBLMS,6LACK,217374,https://open.spotify.com/track/2wf9bp4MkChojtljddWpbO
122,Panda,Desiigner,217342,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h
123,Thumbs,"Sabrina Carpenter",214551,https://open.spotify.com/track/6WC5fhc9XMaCrUNKNjm9xE
124,"Romantic - NOTD Remix",Stanaj,212896,https://open.spotify.com/track/1pvgpkMqtQyOGePdYOTt9U
125,Don't,"Bryson Tiller",212052,https://open.spotify.com/track/3pXF1nA74528Edde4of9CC
126,"Go Flex","Post Malone",211969,https://open.spotify.com/track/5yuShbu70mtHXY0yLzCQLQ
127,Exchange,"Bryson Tiller",211325,https://open.spotify.com/track/43PuMrRfbyyuz4QpZ3oAwN
128,"No Flockin","Kodak Black",209455,https://open.spotify.com/track/34oWbFBfGEElvgO0a5c9V4
129,"Gassed Up","Nebu Kiniza",209306,https://open.spotify.com/track/6JjEVlMkfHWMeYavkEYzNO
130,Jumpman,Drake,208993,https://open.spotify.com/track/27GmP9AWRs744SzKcpJsTZ
131,"Lights Down Low",MAX,208984,https://open.spotify.com/track/1sYSP7gKa5kdKIfhANfori
132,Mercy,"Shawn Mendes",208858,https://open.spotify.com/track/3OalxlWH0v14kyBcNBMINt
133,Ride,"Twenty One Pilots",208526,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
134,"beibs in the trap","Travis Scott",207768,https://open.spotify.com/track/0ESJlaM8CE1jRWaNtwSNj8
135,"It's A Vibe","2 Chainz",205785,https://open.spotify.com/track/1p5B1jJk75RAblZCTnzUTU
136,Reminder,"The Weeknd",201738,https://open.spotify.com/track/37F0uwRSrdzkBiuj0D5UHI
137,"Bibia Be Ye Ye","Ed Sheeran",199215,https://open.spotify.com/track/6SznMYPQJHzr3IwsAHLId2
138,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne",198869,https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB
139,Eraser,"Ed Sheeran",198601,https://open.spotify.com/track/7oolFzHipTMg2nL7shhdz2
140,"Dead Presidents","Rick Ross",198070,https://open.spotify.com/track/3LRoXCTQ7VvvVtzpceHt4y
141,"How Far I'll Go","Auli'i Cravalho",195526,https://open.spotify.com/track/6mb6lVLNrcUgLnEN8QnDJd
142,"Beauty and the Beast - From ""Beauty and the Beast""","Ariana Grande",194834,https://open.spotify.com/track/6e6ag4qyhhn8JRF1xmMJYR
143,"Scars To Your Beautiful","Alessia Cara",193321,https://open.spotify.com/track/42ydLwx4i5V49RXHOozJZq
144,"Save Myself","Ed Sheeran",192459,https://open.spotify.com/track/6TIU9Ehmi6dMzZK73Ym4yj
145,Saved,Khalid,191360,https://open.spotify.com/track/248OFOZef6ShXv6DGgbnxU
146,Everyday,"Ariana Grande",190474,https://open.spotify.com/track/6yL2kTsdVwYnGwPkKGtMd5
147,"Stressed Out","Twenty One Pilots",189418,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
148,"Treat You Better","Shawn Mendes",188427,https://open.spotify.com/track/76t5B0ttSAje5KHmQbv88t
149,"You Don't Know Me","Jax Jones",188421,https://open.spotify.com/track/2SZy40PLDk3vFucXUGFCFA
150,"Some Way",NAV,187286,https://open.spotify.com/track/7zxRMhXxJMQCeDDg0rKAVo
151,"Idols Become Rivals","Rick Ross",186326,https://open.spotify.com/track/5cQffjWJzgnmEtTzKW6dnh
152,"First Day Out","Tee Grizzley",183482,https://open.spotify.com/track/0mGgkrD2phGmsBiDy58z1O
153,"One Night","Lil Yachty",182275,https://open.spotify.com/track/40yJGQyEaBbIkXpwMFkXip
154,"Used to This",Future,180736,https://open.spotify.com/track/3V8sM5OOG6YfDuDLa2IIYJ
155,Sorry,Future,180350,https://open.spotify.com/track/1gb6riq7CCP5clGpSD0XPH
156,"Deja Vu","Post Malone",179044,https://open.spotify.com/track/0H8XeaJunhvpBdBFIYi6Sh
157,"Some Kind Of Drug",G-Eazy,177721,https://open.spotify.com/track/1Bqxj0aH5KewYHKUg1IdrF
158,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",177395,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
159,"What They Want",Russ,176638,https://open.spotify.com/track/3aWhZ1zeqy1kdjXiyMh22T
160,"Good Drank","2 Chainz",176499,https://open.spotify.com/track/6aRlUgqcLgrxQE3RMngjN5
161,"Work from Home","Fifth Harmony",176435,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb
162,"Skateboard P (feat. Big Sean)",Madeintyo,176161,https://open.spotify.com/track/07pJdL0L9XDGW0HBj0rIS2
163,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",175376,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl
164,Chantaje,Shakira,174607,https://open.spotify.com/track/1WniHvhq9zTkny0WvGXX8o
