Position,"Track Name",Artist,Streams,URL
56,"iSpy (feat. Lil Yachty)",Kyle,105601,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
57,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,100330,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
58,"Fake Love",Drake,95041,https://open.spotify.com/track/6NMNgWgEAzde5M8U3lc6FN
59,"You Want Me","Tom Zanetti",94787,https://open.spotify.com/track/4xX7OsX8XTGWJgRxNNIaFT
60,"How Far I'll Go - From ""Moana""","Alessia Cara",94705,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
61,Samantha,Dave,92647,https://open.spotify.com/track/4YLzVD32aMH4qgSsSPtNbl
62,Weak,AJR,91564,https://open.spotify.com/track/3TJk0aoXM0knrOlgd1fnbx
63,"Don't Leave",Snakehips,89598,https://open.spotify.com/track/0Zx8khUcEfCFK2AEoIhC92
64,Sexual,NEIKED,88948,https://open.spotify.com/track/3AsAuGTaDQzavZZThyYlop
65,"Just Hold On","Steve Aoki",88649,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
66,"Shout Out to My Ex","Little Mix",88466,https://open.spotify.com/track/0YHUITU3w6ws1v8ehT264g
67,"By Your Side","Jonas Blue",88329,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j
68,Starving,"Hailee Steinfeld",84405,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
69,"Shed A Light","Robin Schulz",82771,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY
70,Congratulations,"Post Malone",80965,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
71,Chanel,"Frank Ocean",78496,https://open.spotify.com/track/6Nle9hKrkL1wQpwNfEkxjh
72,"Mr. Brightside","The Killers",78307,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN
73,"All Time Low","Jon Bellion",76848,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
74,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",75966,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
75,"No Frauds","Nicki Minaj",74243,https://open.spotify.com/track/0WtVtCK5SEFvyyA5V8D9CI
76,"Cigarettes & Cush (feat. Kehlani)",Stormzy,73964,https://open.spotify.com/track/7MhomISA7KRK6U7KzeV06v
77,"Blinded By Your Grace, Pt. 2 (feat. MNEK)",Stormzy,73003,https://open.spotify.com/track/0ihguwGVwKihJ1Nj8fGQlY
78,Cold,Stormzy,70778,https://open.spotify.com/track/5gSed1Fd3tdse60Gc0Uuoe
79,"No More Sad Songs (feat. Machine Gun Kelly)","Little Mix",70353,https://open.spotify.com/track/5ZnJsoJGkQ5K15W7Rcr5JO
80,"24K Magic","Bruno Mars",69548,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
81,"Best Behaviour","Louisa Johnson",66899,https://open.spotify.com/track/2JCxYaz4o7pSXrT1ZMBWOZ
82,Naive,"The Kooks",65843,https://open.spotify.com/track/7BHPGtpuuWWsvE7cCaMuEU
83,"Lush Life","Zara Larsson",65660,https://open.spotify.com/track/0r4SsYcwvd8URat6AS2m6f
84,Places,"Martin Solveig",64050,https://open.spotify.com/track/6O85MfGECKBqAK2MgSbCaj
85,Shining,"DJ Khaled",64022,https://open.spotify.com/track/0hKBQO2KtkDw99y7oUaTPf
86,Controlla,Drake,63981,https://open.spotify.com/track/4CpKEkdGbOJV51cSvx7SoG
87,"Bounce Back","Big Sean",63834,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
88,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",63811,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
89,Love,"Lana Del Rey",63689,https://open.spotify.com/track/0n2bvWvMwr0gbjcuTm92eW
90,"My Way","Calvin Harris",63251,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
91,"Thinking Out Loud","Ed Sheeran",63220,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
92,"Shut Up",Stormzy,62405,https://open.spotify.com/track/2LPUvD5DDOO4UYGkWgjI2C
93,"Don't Wanna Know","Maroon 5",62396,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
94,"Now and Later","Sage The Gemini",60688,https://open.spotify.com/track/43jBqV3j3Xi1g6wO0bhIMd
95,Selfish,Future,60586,https://open.spotify.com/track/2Ce5IyMlVRVvN997ZJjJJA
96,Photograph,"Ed Sheeran",59725,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
97,"Side To Side","Ariana Grande",59653,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
98,"Water Under the Bridge",Adele,59389,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y
99,"Don't Let Me Down","The Chainsmokers",59350,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm
100,"Tunnel Vision","Kodak Black",59061,https://open.spotify.com/track/2BoS7pU92MQtynhQ0cZOLT
101,"Let Me Love You","DJ Snake",58820,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
102,"Too Good",Drake,58235,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew
103,"Mr Skeng",Stormzy,58018,https://open.spotify.com/track/3DrMEiTE3yu3yyc6xBDEDz
104,"Party Monster","The Weeknd",56739,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt
105,"Treat You Better","Shawn Mendes",56210,https://open.spotify.com/track/76t5B0ttSAje5KHmQbv88t
106,"Beauty and the Beast - From ""Beauty and the Beast""","Ariana Grande",55967,https://open.spotify.com/track/6e6ag4qyhhn8JRF1xmMJYR
107,"The Sound","The 1975",55910,https://open.spotify.com/track/316r1KLN0bcmpr7TZcMCXT
108,"Move Your Body - Single Mix",Sia,55596,https://open.spotify.com/track/7ynCQo1KpBOyTdTdAnjSLZ
109,"Play That Song",Train,54957,https://open.spotify.com/track/77hjM9bMmgfTGJXv14UFmi
110,"The Mack",Nevada,54830,https://open.spotify.com/track/7aV2mflaASUmGhCErm7kBO
111,"Black Beatles","Rae Sremmurd",53907,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
112,"I Got You","Bebe Rexha",53866,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i
113,"What You Know","Two Door Cinema Club",53329,https://open.spotify.com/track/6jrMVRReY24qzCfe1BRrww
