Position,"Track Name",Artist,Streams,URL
55,Sorry,"Justin Bieber",3322,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
56,"Wherever you are","ONE OK ROCK",3106,https://open.spotify.com/track/0YAMQSmHk6BSUGTYpaoqTJ
57,"Love Yourself","Justin Bieber",3104,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
58,"Someone In The Crowd - From ""La La Land"" Soundtrack","Emma Stone",3066,https://open.spotify.com/track/7xE4vKvjqUTtHyJ9zi0k1q
59,Congratulations,"Post Malone",3019,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
60,Eraser,"Ed Sheeran",2940,https://open.spotify.com/track/7oolFzHipTMg2nL7shhdz2
61,"Sooner Or Later","Aaron Carter",2939,https://open.spotify.com/track/4mqvE5F95nKSUrUvUH3YB7
62,Chantaje,Shakira,2922,https://open.spotify.com/track/1WniHvhq9zTkny0WvGXX8o
63,"黄熱病 -YELLOW FEVER- × STUTS",AKKOGORILLA,2891,https://open.spotify.com/track/2bhXXPeTIqsx6AyMbJQYey
64,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,2885,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
65,平行線,Sayuri,2766,https://open.spotify.com/track/4icebBgrSKp7ah4JydnMCO
66,"金星 Feat.DAOKO","QUEEN BEE",2756,https://open.spotify.com/track/0a2J5jdbWJTVs9G8ett9J7
67,"GET WILD - 2017 TK REMIX","Tetsuya Komuro",2755,https://open.spotify.com/track/505v6tiHfwAVxxOjTd2Ud6
68,イキツクシ,DADARAY,2718,https://open.spotify.com/track/61QfjVl3jKT6aBGOE3vIXS
69,"We Are","ONE OK ROCK",2712,https://open.spotify.com/track/57sk9X1fPLXRfkw74XNrmK
70,"Bounce Back","Big Sean",2697,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
71,"桜 super love(single mix)","Sunny Day Service",2691,https://open.spotify.com/track/7bcay4ScRXr3xN00E9wYcK
72,おとなの掟,"Doughnuts Hole",2670,https://open.spotify.com/track/0bw6h2xufXqSeu0YQYFdjv
73,"Don't Wanna Know","Maroon 5",2653,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
74,ワタリドリ,[Alexandros],2645,https://open.spotify.com/track/0ve9Tpz8Yw0I4eXhWsy21o
75,晴れた午後は代官山で,"DJ HASEBE",2618,https://open.spotify.com/track/2rCbhG92g8CtoT3ctVDUxu
76,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",2577,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
77,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",2567,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
78,MAGIC,AAA,2523,https://open.spotify.com/track/0K4Wg6Pwx0cOuJkN8xvuto
79,"Take No Defeat feat. Santell",banvox,2478,https://open.spotify.com/track/69W2TOJk17i0fpSWXAETsj
80,"My Boo","Shota Shimizu",2474,https://open.spotify.com/track/3QuogKcXwxloKxBsTlFH4x
81,"El Amante","Nicky Jam",2465,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs
82,"I Got You","Bebe Rexha",2457,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i
83,Selfish,Future,2352,https://open.spotify.com/track/2Ce5IyMlVRVvN997ZJjJJA
84,Sugar,"Maroon 5",2327,https://open.spotify.com/track/494OU6M7NOf4ICYb4zWCf5
85,"Uptown Funk","Mark Ronson",2292,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
86,"Save Myself","Ed Sheeran",2291,https://open.spotify.com/track/6TIU9Ehmi6dMzZK73Ym4yj
87,"SUBEME LA RADIO","Enrique Iglesias",2272,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
88,"Tunnel Vision","Kodak Black",2272,https://open.spotify.com/track/2BoS7pU92MQtynhQ0cZOLT
89,どんなときも。,"Sonoko Inoue",2266,https://open.spotify.com/track/72hy5aHFbC5U6vOF3bwpMv
90,"Just the Way You Are","Bruno Mars",2231,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ
91,Faces,"Crystal Kay",2224,https://open.spotify.com/track/0Qie3z4SQZzg2N569rPQOf
92,PINKVIBES,Suchmos,2188,https://open.spotify.com/track/1Esn1GqzqnQAstrHmf327y
93,"All We Know","The Chainsmokers",2130,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK
94,"Versace On The Floor","Bruno Mars",2118,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP
95,"Don't Let Me Down","The Chainsmokers",2112,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm
96,"Mia & Sebastian’s Theme - From ""La La Land"" Soundtrack","Justin Hurwitz",2068,https://open.spotify.com/track/1R17cgUv6HeQFa78dzqb7s
97,"The Beginning","ONE OK ROCK",2018,https://open.spotify.com/track/1tznkU3zqC8GVAjQ0oji4i
98,"Side To Side","Ariana Grande",2016,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
99,Cake,"Flo Rida",2003,https://open.spotify.com/track/6t2ubAB4iSYOuIpRAOGd4t
100,"Taking Off","ONE OK ROCK",2000,https://open.spotify.com/track/7bmdV1IiqeCIK1Lb3klDVV
101,Shadyman,"The Hotpantz",1996,https://open.spotify.com/track/4s1yOhfM3hh3eXLURUhA4U
102,オードリー,"WEDNESDAY CAMPANELLA",1991,https://open.spotify.com/track/0UOuIzqiiOXvDniatsUNsP
103,"Bibia Be Ye Ye","Ed Sheeran",1977,https://open.spotify.com/track/6SznMYPQJHzr3IwsAHLId2
104,"Work from Home","Fifth Harmony",1971,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb
105,TT,TWICE,1942,https://open.spotify.com/track/1nMbZ9OsVNSLEyijI80EST
106,原宿いやほい,"Kyary Pamyu Pamyu",1938,https://open.spotify.com/track/4M2ft0utYYfDoUkIcupHSq
107,"Thinking Out Loud","Ed Sheeran",1926,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
108,陽,"Creep Hyp",1923,https://open.spotify.com/track/4MWaFZrqK80ubcDm6JJI1L
109,Fighter,KANA-BOON,1920,https://open.spotify.com/track/5nvqqLZu75jMK31gDytANZ
110,"Beauty and the Beast - From ""Beauty and the Beast""","Ariana Grande",1906,https://open.spotify.com/track/6e6ag4qyhhn8JRF1xmMJYR
111,声,"Green Boys",1891,https://open.spotify.com/track/4bNWppqeaAQ6Dui3M3cS0j
112,"Beautiful Now",Zedd,1889,https://open.spotify.com/track/7FJP35tUJ2121EJsFpU1Gh
113,"I Was King","ONE OK ROCK",1889,https://open.spotify.com/track/5eNlrdrZSTnfJjXpPg1ykV
114,"Koi Wo Suru","Mika Nakashima",1878,https://open.spotify.com/track/1WP9sdevLdkeFeUKV84BK3
115,恋音と雨空,AAA,1876,https://open.spotify.com/track/46gSY0U7ZZCmd7EuJuo15N
116,Listen,"ONE OK ROCK",1875,https://open.spotify.com/track/6ozSdLQYOBh6R2VlRb3t98
117,お嫁においで2015,PUNPEE,1848,https://open.spotify.com/track/3VFhZ9QPVx8bPUvCQD1I2g
118,愛唄,GReeeeN,1848,https://open.spotify.com/track/7qf5vqNIMWM4I7DuC5fmjH
119,"Bad Things - With Camila Cabello","Machine Gun Kelly",1846,https://open.spotify.com/track/6H2TKJ9KJfcq6MRmw2cF20
120,"Dirty Work","Austin Mahone",1829,https://open.spotify.com/track/1Jih1yW1AfhKeYmlGkkj78
121,"Happy - From ""Despicable Me 2""","Pharrell Williams",1829,https://open.spotify.com/track/5b88tNINg4Q4nrRbrCXUmg
122,"Water Under the Bridge",Adele,1827,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y
123,さよならの前に,AAA,1799,https://open.spotify.com/track/7vwXjDrZT2mqiFynlEwwgG
124,"Battle Symphony","Linkin Park",1797,https://open.spotify.com/track/6kYoHUeIpYColDw4HQKjvP
125,Dream,"Shota Shimizu",1795,https://open.spotify.com/track/6PO8T4qt3FHfauSs98zO9j
126,Re:make,"ONE OK ROCK",1790,https://open.spotify.com/track/3Dw7qZztEpuwvR39FkrIO5
127,"Welcome to TOKYO","J Soul Brothers III from EXILE TRIBE",1753,https://open.spotify.com/track/4OqOX0CHuCHkQfBiyXNRYd
128,Treasure,"Bruno Mars",1743,https://open.spotify.com/track/55h7vJchibLdUkxdlX3fK7
129,"Bombs Away","ONE OK ROCK",1743,https://open.spotify.com/track/6fYnCv7uovk7dzdpxYOHDE
130,この闇を照らす光のむこうに,Anly,1725,https://open.spotify.com/track/3k9Gd2NxWUoSVLEAY4TQyN
131,"Hear Me Now",Alok,1718,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
132,Chunky,"Bruno Mars",1718,https://open.spotify.com/track/0mBKv9DkYfQHjdMcw2jdyI
133,Chanel,"Frank Ocean",1702,https://open.spotify.com/track/6Nle9hKrkL1wQpwNfEkxjh
134,"Bedroom Warfare","ONE OK ROCK",1695,https://open.spotify.com/track/3YFJmxh4eG1eKXf9YVTrgU
135,"Herman’s Habit - From ""La La Land"" Soundtrack","Justin Hurwitz",1675,https://open.spotify.com/track/2SR8QbdNfzA3SUv4rt33sJ
136,"City Of Stars - From ""La La Land"" Soundtrack","Ryan Gosling",1672,https://open.spotify.com/track/0LtVx5vsq9nfpGsWgjUin6
137,"One Way Ticket","ONE OK ROCK",1667,https://open.spotify.com/track/1w0hboEMff54kez5XXyRNP
138,"Epilogue - From ""La La Land"" Soundtrack","Justin Hurwitz",1664,https://open.spotify.com/track/1WOmEg42Mgaz1nRimIMR9C
139,"Come Together",DYGL,1664,https://open.spotify.com/track/5N5T6GtVBM1bkCSjOkeVmU
140,"J.S.B. LOVE","J Soul Brothers III from EXILE TRIBE",1642,https://open.spotify.com/track/7yYZjQsv5lLknGVlep1uIh
141,"Touch (feat. Kid Ink)","Little Mix",1633,https://open.spotify.com/track/7FPOTINXrud2gCZVAsMTZc
