Position,Track Name,Artist,Region
53,Text From Your Ex (feat. Tinashe),Tinie Tempah,UK
54,One Dance,Drake,UK
55,Did You See,J HUS,UK
56,iSpy (feat. Lil Yachty),Kyle,UK
57,Bad and Boujee (feat. Lil Uzi Vert),Migos,UK
58,Fake Love,Drake,UK
59,You Want Me,Tom Zanetti,UK
60,"How Far I'll Go - From ""Moana""",Alessia Cara,UK
61,Samantha,Dave,UK
62,Weak,AJR,UK
63,Don't Leave,Snakehips,UK
64,Sexual,NEIKED,UK
65,Just Hold On,Steve Aoki,UK
66,Shout Out to My Ex,Little Mix,UK
67,By Your Side,Jonas Blue,UK
68,Starving,Hailee Steinfeld,UK
69,Shed A Light,Robin Schulz,UK
70,Congratulations,Post Malone,UK
71,Chanel,Frank Ocean,UK
72,Mr. Brightside,The Killers,UK
73,All Time Low,Jon Bellion,UK
74,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,UK
75,No Frauds,Nicki Minaj,UK
76,Cigarettes & Cush (feat. Kehlani),Stormzy,UK
77,"Blinded By Your Grace, Pt. 2 (feat. MNEK)",Stormzy,UK
78,Cold,Stormzy,UK
79,No More Sad Songs (feat. Machine Gun Kelly),Little Mix,UK
80,24K Magic,Bruno Mars,UK
81,Best Behaviour,Louisa Johnson,UK
82,Naive,The Kooks,UK
83,Lush Life,Zara Larsson,UK
84,Places,Martin Solveig,UK
85,Shining,DJ Khaled,UK
86,Controlla,Drake,UK
87,Bounce Back,Big Sean,UK
88,Cold Water (feat. Justin Bieber & MØ),Major Lazer,UK
89,Love,Lana Del Rey,UK
90,My Way,Calvin Harris,UK
91,Thinking Out Loud,Ed Sheeran,UK
92,Shut Up,Stormzy,UK
93,Don't Wanna Know,Maroon 5,UK
94,Now and Later,Sage The Gemini,UK
95,Selfish,Future,UK
96,Photograph,Ed Sheeran,UK
97,Side To Side,Ariana Grande,UK
98,Water Under the Bridge,Adele,UK
99,Don't Let Me Down,The Chainsmokers,UK
100,Tunnel Vision,Kodak Black,UK
1,Shape of You,Ed Sheeran,JP
2,Something Just Like This,The Chainsmokers,JP
3,Stay (with Alessia Cara),Zedd,JP
4,It Ain't Me (with Selena Gomez),Kygo,JP
5,Galway Girl,Ed Sheeran,JP
6,Paris,The Chainsmokers,JP
7,That's What I Like,Bruno Mars,JP
8,Castle on the Hill,Ed Sheeran,JP
9,Closer,The Chainsmokers,JP
10,Slide,Calvin Harris,JP
11,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,JP
12,I Feel It Coming,The Weeknd,JP
13,Call On Me - Ryan Riback Extended Remix,Starley,JP
14,Scared to Be Lonely,Martin Garrix,JP
15,Cold,Maroon 5,JP
16,Say You Won't Let Go,James Arthur,JP
17,Chained To The Rhythm,Katy Perry,JP
18,Issues,Julia Michaels,JP
19,Perfect,Ed Sheeran,JP
20,"How Far I'll Go - From ""Moana""",Alessia Cara,JP
21,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),Major Lazer,JP
22,New Man,Ed Sheeran,JP
23,Solo Dance,Martin Jensen,JP
24,HAPPY,J Soul Brothers III from EXILE TRIBE,JP
25,Just Hold On,Steve Aoki,JP
26,Green Light,Lorde,JP
27,Happier,Ed Sheeran,JP
28,Fire,Shota Shimizu,JP
29,What Do You Mean?,Justin Bieber,JP
30,What Do I Know?,Ed Sheeran,JP
31,どこまでも ~How Far I'll Go~(エンドソング),Miliyah,JP
32,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,JP
33,Starboy,The Weeknd,JP
34,24K Magic,Bruno Mars,JP
35,Dive,Ed Sheeran,JP
36,iSpy (feat. Lil Yachty),Kyle,JP
37,Despacito (Featuring Daddy Yankee),Luis Fonsi,JP
38,Believer,Imagine Dragons,JP
39,How Would You Feel (Paean),Ed Sheeran,JP
40,Supermarket Flowers,Ed Sheeran,JP
41,All Night,The Vamps,JP
42,All Time Low,Jon Bellion,JP
43,Barcelona,Ed Sheeran,JP
44,Weak,AJR,JP
45,You Don't Know Me,Jax Jones,JP
46,Nancy Mulligan,Ed Sheeran,JP
47,STAY TUNE,Suchmos,JP
48,"Another Day Of Sun - From ""La La Land"" Soundtrack",La La Land Cast,JP
49,Take What You Want (feat. 5 Seconds of Summer),ONE OK ROCK,JP
50,Symphony,Clean Bandit,JP
51,Hearts Don't Break Around Here,Ed Sheeran,JP
52,Mask Off,Future,JP
53,優しくしないで'95,MGF,JP
54,Let Me Love You,DJ Snake,JP
55,Sorry,Justin Bieber,JP
56,Wherever you are,ONE OK ROCK,JP
57,Love Yourself,Justin Bieber,JP
58,"Someone In The Crowd - From ""La La Land"" Soundtrack",Emma Stone,JP
59,Congratulations,Post Malone,JP
60,Eraser,Ed Sheeran,JP
61,Sooner Or Later,Aaron Carter,JP
62,Chantaje,Shakira,JP
63,黄熱病 -YELLOW FEVER- × STUTS,AKKOGORILLA,JP
64,Bad and Boujee (feat. Lil Uzi Vert),Migos,JP
65,平行線,Sayuri,JP
66,金星 Feat.DAOKO,QUEEN BEE,JP
67,GET WILD - 2017 TK REMIX,Tetsuya Komuro,JP
68,イキツクシ,DADARAY,JP
69,We Are,ONE OK ROCK,JP
